"","date","time","latitude","longitude","stop","subject","ta","vp","ws","mrt","pet"
"148",2018-09-29,"17:51:17",33.457753,-112.040921,"7","7",37.8,12,0.5,59.3,50
"149",2018-09-29,"17:51:17",33.457753,-112.040921,"7","7",37.8,12,0.5,59.3,50
"150",2018-09-29,"17:51:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"151",2018-09-29,"17:51:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"152",2018-09-29,"17:51:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"153",2018-09-29,"17:52:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"154",2018-09-29,"17:52:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"155",2018-09-29,"17:52:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"156",2018-09-29,"17:52:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"157",2018-09-29,"17:52:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"158",2018-09-29,"17:52:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"159",2018-09-29,"17:53:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"160",2018-09-29,"17:53:17",33.457754,-112.040921,"7","7",37.8,12,0.5,59.3,50
"161",2018-09-29,"17:53:17",33.457754,-112.040924,"7","7",37.8,12,0.5,59.3,50
"162",2018-09-29,"17:53:17",33.457754,-112.040924,"7","7",37.8,12,0.5,59.3,50
"163",2018-09-29,"17:53:17",33.457754,-112.040926,"7","7",37.8,12,0.5,59.3,50
"164",2018-09-29,"17:53:17",33.457754,-112.040926,"7","7",37.8,12,0.5,59.3,50
"165",2018-09-29,"17:54:17",33.457756,-112.040926,"7","7",37.8,12,0.5,59.3,50
"166",2018-09-29,"17:54:17",33.457756,-112.040926,"7","7",37.8,12,0.5,59.3,50
"167",2018-09-29,"17:54:17",33.457748,-112.040943,"7","7",37.8,12,0.5,59.3,50
"168",2018-09-29,"17:54:17",33.457739,-112.04098,"7","7",37.8,13,2.1,60.3,49.6
"169",2018-09-29,"17:54:17",33.457729,-112.040981,"7","7",37.8,13,2.1,60.3,49.6
"170",2018-09-29,"17:55:17",33.457761,-112.041013,"7","7",37.8,13,2.3,61.3,50.1
"171",2018-09-29,"17:55:17",33.457768,-112.041023,"7","7",37.8,13,1.5,61.3,50.4
"172",2018-09-29,"16:47:16",33.4515,-112.046666,"3","8",38.1,11,1.2,57.3,48.4
"173",2018-09-29,"16:48:16",33.451498,-112.046668,"3","8",38.1,11,1.2,57.3,48.4
"174",2018-09-29,"16:48:16",33.4515,-112.046668,"3","8",38.1,11,0.5,59.8,50.4
"175",2018-09-29,"16:48:16",33.4515,-112.046668,"3","8",38.1,11,0.5,59.8,50.4
"176",2018-09-29,"16:48:16",33.4515,-112.046668,"3","8",38.1,11,0.5,59.8,50.4
"177",2018-09-29,"16:48:16",33.4515,-112.046668,"3","8",38.1,11,0.5,59.8,50.4
"178",2018-09-29,"16:48:16",33.4515,-112.046668,"3","8",38.1,11,0.5,59.8,50.4
"179",2018-09-29,"16:49:16",33.451553,-112.04669,"3","8",38.1,11,1.4,62.7,51.2
"180",2018-09-29,"16:49:16",33.451566,-112.046685,"3","8",38.1,11,1.1,63.8,52.1
"181",2018-09-29,"16:49:16",33.451566,-112.046686,"3","8",38.1,11,1.1,63.8,52.1
"182",2018-09-29,"16:49:16",33.451564,-112.046683,"3","8",38.1,11,1.1,63.8,52.1
"183",2018-09-29,"16:49:16",33.451575,-112.046669,"3","8",38,12,0.6,62.4,51.8
"184",2018-09-29,"16:49:16",33.451579,-112.046673,"3","8",38,12,0.4,62.6,52.3
"185",2018-09-29,"16:50:16",33.45165,-112.046699,"3","8",38,11,0.2,63.2,53.1
"186",2018-09-29,"17:23:17",33.457733,-112.040955,"7","8",37.5,12,1,51.4,44.9
"187",2018-09-29,"17:23:17",33.457766,-112.040974,"7","8",37.8,13,2.1,60.3,49.4
"188",2018-09-29,"17:23:17",33.457719,-112.041078,"7","8",37.8,12,2.2,62.7,50.5
