"","sample_date","gage_ht","cond","cl","na"
"234",1991-05-28,2.78,51.1,NA,4.84
"235",1991-06-04,2.55,60.8,NA,5.24
"236",1991-06-11,5.2,50.1,7.56,4.52
"237",1991-06-18,2.52,60.8,7.59,5.23
"238",1991-06-25,2.54,58.5,7.18,4.15
"239",1991-07-02,3,51.9,7.45,4.53
"240",1991-07-09,2.54,57.7,7.06,5
"241",1991-07-16,3.85,44.5,NA,0.45
"242",1991-07-23,2.45,61.3,8.12,5.59
"243",1991-07-30,2.65,57.1,NA,5.51
"244",1991-08-06,2.42,57.5,NA,5.48
"245",1991-08-13,2.57,61.4,8.09,5.52
"246",1991-08-20,2.45,58.7,9.38,5.27
"247",1991-08-27,3.35,49,8.94,4.89
"248",1991-09-03,2.76,61,NA,5.12
"249",1991-09-10,NA,56.3,NA,5.25
"250",1991-09-17,3.51,50,NA,4.67
"251",1991-09-24,2.97,58,7.06,6.36
"252",1991-10-01,3.38,46.3,2.34,4.27
"253",1991-10-08,2.94,56.3,2.03,5.24
"254",1991-10-15,2.9,56.7,5.37,5.87
"255",1991-10-22,2.7,61.8,7.22,5.3
"256",1991-10-29,2.32,65,2.55,4.88
"257",1991-11-05,3.55,NA,6.83,6.55
"258",1991-11-12,3.34,45.7,6.6,4.67
"259",1991-11-18,3.02,50.5,7.78,4.98
"260",1991-11-26,3.57,45.8,NA,4.47
"261",1991-12-03,4.7,44,9.77,4.84
"262",1991-12-10,3.66,49,3.71,4.53
"263",1991-12-17,3.42,46.2,7.49,5.05
"264",1991-12-23,3.26,51.7,8.36,4.89
"265",1991-12-30,3.42,58.6,9.02,5.59
"266",1992-01-07,3.6,51.6,7.85,5.09
"267",1992-01-14,3.6,51.5,7.75,4.99
"268",1992-01-21,3.32,55.2,7.72,5.33
"269",1992-01-28,3.4,59.4,7.98,5.35
"270",1992-02-04,3.35,60,7.45,5.84
"271",1992-02-11,3.4,55.4,NA,5.29
"272",1992-02-18,3.09,NA,NA,5.45
"273",1992-02-25,3.29,62.01,NA,6.59
"274",1992-03-03,2.85,65.7,NA,5.6
"275",1992-03-10,3.24,58.1,NA,5.2
"276",1992-03-17,3.24,54.3,NA,4.98
"277",1992-03-24,NA,NA,NA,5.72
"278",1992-04-01,3.32,55.8,NA,5.95
"279",1992-04-07,3.7,54.5,NA,2.16
"280",1992-04-14,3.58,57.6,NA,5.45
"281",1992-04-21,3.38,56.6,NA,5.82
"282",1992-04-28,3.16,61,NA,6.11
"283",1992-05-05,3.48,51.4,NA,5.06
"284",1992-05-12,3.58,52.5,NA,4.68
"285",1992-05-19,3.38,50.9,8.83,5.95
"286",1992-05-26,3.7,39.5,6.98,5.09
"287",1992-06-02,4,41.1,5.82,4.25
"288",1992-06-09,3.4,52,6.94,5.05
"289",1992-06-16,4.25,38.7,5.41,3.64
"290",1992-06-23,4.3,51.1,NA,4.79
"291",1992-06-30,3.2,59.4,8.89,6.22
"292",1992-07-07,2.3,61.8,NA,5.67
"293",1992-07-14,3.4,48.3,8.35,5.57
"294",1992-07-21,3.5,47.9,8.95,6.6
"295",1992-07-28,3.2,47,4.01,2.77
"296",1992-08-04,3.4,55.6,NA,4.99
