"","park_name","year","recreation_visitors","non_recreation_visitors","recreation_hours","non_recreation_hours","concessioner_lodging","concessioner_camping","tent_campers","rv_campers","backcountry","non_recreation_overnight_stays","miscellaneous_overnight_stays"
"219","Lewis & Clark NHP",2022,279924,90,405928,23,0,0,0,0,0,0,0
"220","Lincoln Boyhood NMEM",2022,105819,16200,119046,2700,0,0,0,0,0,0,0
"221","Lincoln Home NHS",2022,145144,12,128744,48,0,0,0,0,0,0,0
"222","Lincoln Memorial",2022,7825397,0,3912699,0,0,0,0,0,0,0,0
"223","Little Bighorn Battlefield NM",2022,168433,1524,168452,763,0,0,0,0,0,0,0
"224","Little River Canyon NPRES",2022,726239,0,1638667,0,0,0,0,0,0,0,0
"225","Little Rock Central High School NHS",2022,92108,0,92108,0,0,0,0,0,0,0,0
"226","Longfellow House Washington's HQ NHS",2022,60558,0,90836,0,0,0,0,0,0,0,0
"227","Lowell NHP",2022,209284,109,315591,163,0,0,0,0,0,0,0
"228","Lyndon B. Johnson NHP",2022,87386,0,266779,0,0,0,0,0,0,0,0
"229","Maggie L. Walker NHS",2022,4815,0,7222,0,0,0,0,0,0,0,0
"230","Mammoth Cave NP",2022,663147,133350,5055162,66675,14941,0,43487,18810,4802,0,7323
"231","Manassas NBP",2022,532727,480,399544,84,0,0,0,0,0,0,0
"232","Manhattan Project NHP",2022,27265,0,42229,0,0,0,0,0,0,0,0
"233","Manzanar NHS",2022,116843,0,175264,0,0,0,0,0,0,0,0
"234","Marsh-Billings-Rockefeller NHP",2022,63956,0,127912,0,0,0,0,0,0,0,0
"235","Martin Luther King, Jr. Memorial",2022,3321897,0,1660951,0,0,0,0,0,0,0,0
"236","Martin Luther King, Jr. NHP",2022,242789,0,368326,0,0,0,0,0,0,0,0
"237","Martin Van Buren NHS",2022,11702,0,19665,0,0,0,0,0,0,0,0
"238","Mary McLeod Bethune Council House NHS",2022,1995,0,3990,0,0,0,0,0,0,0,0
"239","Medgar and Myrlie Evers Home NM",2022,11231,0,12202,0,0,0,0,0,0,0,0
