"","year","epa_region","state","number_NPDESpermits_majorwatershed","number_NPDESpermits_nonmajorwatershed","total_pollutants_lb_yr_majorwateshed","total_pollutants_lb_yr_nonmajorwateshed","total_TOXICpollutants_lb_yr_majorwatershed","total_TOXICpollutants_lb_yr_nonmajorwatershed"
"168",2021,"1","VERMONT",34,290,20534810,977297,14001,2124
"169",2021,"2","VIRGIN ISLANDS",8,73,5070578,96637267,48714,151968
"170",2021,"3","VIRGINIA",153,1035,307469263,446871221,126618,18287
"171",2021,"10","WASHINGTON",77,373,573499,1523890,151,981
"172",2021,"3","WEST VIRGINIA",89,1916,690199842,1643657565,549257,908870
"173",2021,"5","WISCONSIN",126,1159,142354703,70805530,22857,3626
"174",2021,"8","WYOMING",24,630,52580370,2190799001,1407,21889445
"175",2020,"4","ALABAMA",175,1188,3265251125,479694093,651696,245286
"176",2020,"10","ALASKA",41,47,92556626,1346486,26695,2549
"177",2020,"9","AMERICAN SAMOA",4,2,5089425,26025,262,14
"178",2020,"9","ARIZONA",74,96,976723957,23886406,439697444,1673
"179",2020,"6","ARKANSAS",116,686,432019171,257795896,430592,45321
"180",2020,"9","CALIFORNIA",237,207,2985281888,90331985,53133492878,776681215
"181",2020,"8","COLORADO",125,437,399407198,268003620,56303,12812
"182",2020,"1","CONNECTICUT",86,64,137809506,58938120,1613981,2211
"183",2020,"3","DELAWARE",17,31,8796407,254644,316098,1189
"184",2020,"3","DISTRICT OF COLUMBIA",4,7,9222458,22155908,3986,68
"185",2020,"4","FLORIDA",404,269,280188337,194149722,528961,167896
"186",2020,"4","GEORGIA",205,535,214283874,30815047546,375859,9215
"187",2020,"9","GUAM",4,10,4454594,1804642,1279,6602
"188",2020,"6","GULF OF MEXICO",NA,1,NA,NA,NA,NA
"189",2020,"4","GULF OF MEXICO EAST",NA,1,NA,NA,NA,NA
"190",2020,"9","HAWAII",18,186,56403661,7668695,259010,467884921
"191",2020,"10","IDAHO",39,129,102261273,5287518,24520,2113
"192",2020,"5","ILLINOIS",268,1251,650076514,439156142,806227,251173
"193",2020,"5","INDIANA",190,12462,1141132509,90428031,1120389,25504
"194",2020,"7","IOWA",141,1460,122808081,64315400,26334,6859
"195",2020,"7","KANSAS",60,1323,202466435,70486633,55952,6161
"196",2020,"4","KENTUCKY",139,1289,459750708,271657628,355819,54266
"197",2020,"6","LOUISIANA",242,1032,5147118782,1193491709,1492544,166069454
"198",2020,"1","MAINE",74,333,84647759,1124435,10635,1716
"199",2020,"9","MARIANA ISLANDS",2,3,463402,62,85,1
"200",2020,"3","MARYLAND",93,392,43462859,74333627,561301,16767
"201",2020,"1","MASSACHUSETTS",120,102,1111520643,139390385,2434805,16949
"202",2020,"5","MICHIGAN",187,520,810018179,773840709,294423,232153
"203",2020,"5","MINNESOTA",102,592,2090708784,125866255,237995,9819
"204",2020,"4","MISSISSIPPI",91,1107,62351921,324600432,62114,45334
"205",2020,"7","MISSOURI",179,2680,511213538,12289539363,970944,12695211
"206",2020,"8","MONTANA",33,152,84955366,28096325,11284,6655
"207",2020,"7","NEBRASKA",51,639,221040563,21965609313,29304,311000
"208",2020,"9","NEVADA",14,80,582451534,99702343,10187,15292
"209",2020,"1","NEW HAMPSHIRE",48,34,159211320,682773,16086,803
"210",2020,"2","NEW JERSEY",134,346,314549630,18937498,134901,1780
"211",2020,"6","NEW MEXICO",33,84,139277564,7984736,28506743,895
"212",2020,"2","NEW YORK",316,1280,901422989,38775820616,1455493,662630
