"","city","bedrooms","bathrooms","sq_ft","price"
"272","Santa Maria-Orcutt",2,3,1200,160000
"273","Santa Maria-Orcutt",3,3,2400,299000
"274","Oceano",3,3,1265,300000
"275","Santa Maria-Orcutt",4,2,1460,270000
"276","Nipomo",3,3,1894,490000
"277","Santa Maria-Orcutt",3,3,1800,295000
"278","Paso Robles",3,2,1550,225000
"279","Atascadero",2,2,1426,324900
"280","Santa Maria-Orcutt",3,2,1110,165000
"281","Santa Maria-Orcutt",3,2,1075,157900
"282","Nipomo",3,2,1756,299000
"283","Paso Robles",3,3,2150,369000
"284","Santa Maria-Orcutt",4,2,1650,233000
"285","Santa Maria-Orcutt",2,2,1200,109900
"286","Paso Robles",3,2,1488,309000
"287","Pismo Beach",4,4,3609,1799000
"288","Santa Maria-Orcutt",2,2,1113,209900
"289","Solvang",3,2,1600,499000
"290","Arroyo Grande",4,2,1961,525000
"291","Los Osos",3,3,3249,650000
"292","Morro Bay",3,3,1510,529000
"293","Santa Maria-Orcutt",3,2,1300,179000
"294","Lompoc",3,3,1736,282000
"295","Templeton",4,3,3008,899000
"296","Santa Maria-Orcutt",3,2,1850,130000
"297","Santa Maria-Orcutt",3,2,1146,205000
"298","Santa Maria-Orcutt",2,2,1100,180900
"299","Atascadero",4,4,2135,409900
"300","Atascadero",4,4,2135,409900
"301","Grover Beach",3,2,1827,469000
"302","Arroyo Grande",3,1,1005,289000
"303","Santa Maria-Orcutt",2,3,1800,99999
"304","Santa Maria-Orcutt",5,3,3307,445000
"305","Atascadero",3,3,2160,640000
"306","San Miguel",3,2,1062,185000
"307","Santa Maria-Orcutt",4,2,1102,210000
"308","Santa Maria-Orcutt",3,2,1215,199900
"309","Santa Maria-Orcutt",3,2,1600,225000
"310","Paso Robles",4,2,2161,369900
"311","Santa Maria-Orcutt",3,2,1686,120000
"312","Paso Robles",2,1,1000,199000
"313","Arroyo Grande",3,3,2600,520000
"314","Paso Robles",5,3,3150,579000
"315","Santa Maria-Orcutt",4,2,1257,300000
"316","Arroyo Grande",3,2,1171,325000
"317","Santa Maria-Orcutt",3,2,1144,225000
"318","Atascadero",2,1,1160,395000
"319","Santa Maria-Orcutt",4,3,2300,399000
"320","Lompoc",3,2,1144,165000
"321","Arroyo Grande",3,2,1368,374900
"322","Santa Maria-Orcutt",3,2,1238,199900
"323","Arroyo Grande",3,1,1056,365000
"324","Santa Maria-Orcutt",2,2,1086,222900
"325","Los Osos",2,1,720,249900
"326","Paso Robles",3,2,1426,290000
"327","Santa Maria-Orcutt",4,2,1361,170500
"328","Atascadero",3,3,2344,560000
"329","Nipomo",4,2,1925,339900
"330","Nipomo",4,3,2600,550000
"331","San Miguel",4,2,1601,269900
"332","Paso Robles",3,2,1395,350000
"333","Los Osos",2,2,1042,214000
"334","Santa Maria-Orcutt",3,2,1200,299900
"335","Nipomo",2,2,1248,139500
"336","Lompoc",4,3,3000,360000
